time,city,ndvi
2008-12-01,Islamabad,0.3325
2009-01-01,Islamabad,0.30560000000000004
2009-02-01,Islamabad,0.39130000000000004
2009-03-01,Islamabad,0.4072
2009-04-01,Islamabad,0.4822
2009-05-01,Islamabad,0.35750000000000004
2009-06-01,Islamabad,0.3411
2009-07-01,Islamabad,0.3144
2009-08-01,Islamabad,0.45780000000000004
2009-09-01,Islamabad,0.4339
2009-10-01,Islamabad,0.3397
2009-11-01,Islamabad,0.31420000000000003
2009-12-01,Islamabad,0.3014
2010-01-01,Islamabad,0.2574
2010-02-01,Islamabad,0.2753
2010-03-01,Islamabad,0.3561
2010-04-01,Islamabad,0.39640000000000003
2010-05-01,Islamabad,0.34240000000000004
2010-06-01,Islamabad,0.3078
2010-07-01,Islamabad,0.3362
2010-08-01,Islamabad,0.4894
2010-09-01,Islamabad,0.5278
2010-10-01,Islamabad,0.40900000000000003
2010-11-01,Islamabad,0.4011
2010-12-01,Islamabad,0.321
2011-01-01,Islamabad,0.2827
2011-02-01,Islamabad,0.3413
2011-03-01,Islamabad,0.38570000000000004
2011-04-01,Islamabad,0.46090000000000003
2011-05-01,Islamabad,0.37620000000000003
2011-06-01,Islamabad,0.3311
